ticker,ticker_raw,yahoo_ticker_candidates,company,permno,sp500_start_date,sp500_end_date,first_year_available,entered_sp500_year,left_sp500_year,delisted_or_shutdown_year,is_current_sp500,membership_status,source,notes
,,,LEES JAMES & SONS CO,23165.0,1957-03-01,1960-03-23,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,CORNELL DUBILIER ELEC CORP,21784.0,1957-03-01,1960-04-20,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,MIAMI COPPER CO,13151.0,1957-03-01,1960-06-22,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,WESSON OIL & SNOWDRIFT INC,17216.0,1957-03-01,1960-07-13,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,ARTLOOM INDS INC; ARTLOOM CORP; ARTLOOM CARPET INC; TRANS UTD INDS INC,14832.0,1957-03-01,1960-10-26,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,CLETRAC CORP; OLIVER CORP; OLIVER FARM EQUIP CO,17603.0,1957-03-01,1960-10-26,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,GUANTANAMO SUGAR CO,12212.0,1957-03-01,1960-12-28,,1957,1960.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,MANATI SUGAR CO,13004.0,1957-03-01,1961-02-08,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,VERTIENTES CAMAGUEY SUGAR CO,22015.0,1957-03-01,1961-02-08,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,INDUSTRIAL RAYON CORP,17064.0,1957-03-01,1961-04-26,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,BRIDGEPORT BRASS CO,19625.0,1957-03-01,1961-06-21,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,GREEN H L INC,19836.0,1957-03-01,1961-06-21,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,SPENCER KELLOGG & SONS INC,17486.0,1957-03-01,1961-08-02,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,CREAM OF WHEAT CORP,18454.0,1957-03-01,1961-08-09,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
,,,HERCULES MTRS CORP,18366.0,1957-03-01,1961-09-20,,1957,1961.0,,False,closed,wrds_classroom_sp500_changes,source row has no ticker
